Id Operacao;Data do Inicio;Data da Deflagracao;Tipo de Operacao;Area;Sigla Unidade Federativa;Sigla Unidade Institucional;Atuacao em Territorio Indigena;Atuacao em Territorio de Fronteira;Qtd Prisao em Flagrante;Qtd Prisao Preventiva;Qtd Prisao Temporaria;Qtd Mandado de Busca e Apreesao;Qtd Valores Apreendidos;Qtd Valores Apreendidos i11;Qtd Valores Descapitalizados;Qtd Prejuizos Causados a Uniao;Proib Ausentar Comarca;Proib Acesso ou Freq;Comparecimento Juizo;Qtd Fianca;Qtd Internacao Prov;Proib Contato;Mand Jud Caut Assec;Recol Domic Noturno;Susp Ex Func Pub A E;Monit Eletronica
bc7359bc00cf323eb65f8c33f54dcb94;31/07/2023;31/07/2023;Operacao de Apoio;Trбfico de Drogas                                                                                                               ;SP;SR/PF/SP                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
913926dbd9b2e7c550a72cb375b0cf10;31/07/2023;31/07/2023;Operacao Simples ;Trбfico de Armas                                                                                                                ;AL;SR/PF/AL                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
bd82a1cb3766c8f5d28066f7b95e99ce;31/07/2023;31/07/2023;Operacao Simples ;Trбfico de Drogas                                                                                                               ;SP;DPF/GRU/SP - AIN                                                ;Nao;                                                                                                                                ;1;0;0;0;R$853,00;;;;0;0;0;0;0;0;0;0;0;0
c85465827f1aebc964248167c8020228;31/07/2023;31/07/2023;Operacao Simples ;Crimes Fazendбrios                                                                                                              ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
55ff13c2e1021ab7051ee22cabd69eb1;31/07/2023;31/07/2023;Operacao Simples ;Trбfico de Armas                                                                                                                ;MS;DPF/PPA/MS                                                      ;Nao;Paraguai                                                                                                                        ;2;0;0;0;R$53.568,00;;;;0;0;0;0;0;0;0;0;0;0
6b8ba8c1d5e152a975031441936d1533;31/07/2023;31/07/2023;Operacao Simples ;Trбfico de Drogas                                                                                                               ;MT;SR/PF/MT                                                        ;Nao;                                                                                                                                ;1;0;0;0;R$1.899,00;;;;0;0;0;0;0;0;0;0;0;0
e82a4902b36c761dfeeab331676abdde;31/07/2023;31/07/2023;Operacao de Apoio;Crimes de Corrupзгo                                                                                                             ;BA;DPF/VDC/BA                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
3e98f1cc021387e579ba94f3f6f5f9f6;31/07/2023;31/07/2023;Operacao Simples ;Trбfico de Drogas                                                                                                               ;SE;SR/PF/SE                                                        ;Nao;                                                                                                                                ;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
88f0d2d02e8df77884cd8d59946543f8;02/08/2023;31/07/2023;Operacao Comum   ;Trбfico de Drogas                                                                                                               ;MG;SR/PF/MG                                                        ;Nao;                                                                                                                                ;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
8a1ce8873f0ebe6634da275019155b10;30/07/2023;30/07/2023;Operacao de Apoio;Trбfico de Drogas                                                                                                               ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
b0a680758d0c30ba5f1d4a332e75e10d;30/07/2023;30/07/2023;Operacao Simples ;Trбfico de Drogas                                                                                                               ;RJ;DPF/AIN/RJ                                                      ;Nao;                                                                                                                                ;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
11e2da5c115f9304038773a513db65f9;30/07/2023;30/07/2023;Operacao Simples ;Trбfico de Drogas                                                                                                               ;AM;SR/PF/AM                                                        ;Nao;                                                                                                                                ;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
aa8c4483bdc4b65e52d025488fae4bf5;29/07/2023;29/07/2023;Operacao Simples ;Trбfico de Drogas                                                                                                               ;SP;DPF/GRU/SP - AIN                                                ;Nao;                                                                                                                                ;1;0;0;0;R$1.889,00;;;;0;0;0;0;0;0;0;0;0;0
3fb34dd250997c0d66b6fa61f4e8c9b2;29/07/2023;29/07/2023;Operacao Simples ;Trбfico de Drogas                                                                                                               ;SP;DPF/GRU/SP - AIN                                                ;Nao;                                                                                                                                ;1;0;0;0;R$472,00;;;;0;0;0;0;0;0;0;0;0;0
38a44a0f30660861cdf627518d6bfb4c;01/04/2021;28/07/2023;Operacao Especial;Trбfico de Drogas                                                                                                               ;PR;DPF/PNG/PR                                                      ;Nao;                                                                                                                                ;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
91860811fa33edb9831dd4323dbeeed5;19/10/2022;28/07/2023;Operacao Comum   ;Crimes de Уdio e Pornografia Infantil                                                                                           ;MT;SR/PF/MT                                                        ;Nao;                                                                                                                                ;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
e16a4ca71de93b9d1e35186e568d9fdf;05/06/2023;28/07/2023;Operacao Especial;Trбfico de Drogas                                                                                                               ;AP;SR/PF/AP                                                        ;Nao;                                                                                                                                ;2;0;0;1;R$5.410,00;;;;0;0;0;0;0;0;0;0;0;0
d8728c90cd89e0862fba0786ffa6b195;28/07/2023;28/07/2023;Operacao de Apoio;Fraudes Bancбrias                                                                                                               ;SP;SR/PF/SP                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
bb179545e3bc08790c3c1a3221e1ce5c;28/07/2023;28/07/2023;Operacao Simples ;Trбfico de Drogas                                                                                                               ;CE;SR/PF/CE                                                        ;Nao;                                                                                                                                ;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
4f4a657a499306ce5dd6210c5c0e64be;28/07/2023;28/07/2023;Operacao Simples ;Trбfico de Drogas                                                                                                               ;SP;DPF/GRU/SP - AIN                                                ;Nao;                                                                                                                                ;2;0;0;0;R$10.428,00;;;;0;0;0;0;0;0;0;0;0;0
1a53d09c8a316ba11d0d5f820987d463;28/07/2023;28/07/2023;Operacao Simples ;Trбfico de Armas                                                                                                                ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
6cc6562b023845fee40ada01dc9a1449;28/07/2023;28/07/2023;Operacao Simples ;Crimes Fazendбrios                                                                                                              ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
85ab47123d2138529434bd993f13f3af;08/08/2023;28/07/2023;Operacao Especial;Trбfico de Drogas                                                                                                               ;PB;SR/PF/PB                                                        ;Nao;                                                                                                                                ;1;0;0;2;R$35.531,00;;;;0;0;0;0;0;0;0;0;0;0
a5f36fed361279a79cf704cf9207e621;25/08/2023;28/07/2023;Operacao Especial;Crimes de Уdio e Pornografia Infantil                                                                                           ;ES;SR/PF/ES                                                        ;Nao;                                                                                                                                ;0;0;0;2;;;;;0;0;0;0;0;0;0;0;0;0
8eb62d4f172cc0d25febd7544dc6d51b;01/03/2021;27/07/2023;Operacao Especial;Crimes da Alta Tecnologia                                                                                                       ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;0;0;0;2;;;;;0;0;0;0;0;0;0;0;0;0
9ea2e6c1094001005e8c62d2a9015497;14/02/2023;27/07/2023;Operacao Especial;Crimes de Уdio e Pornografia Infantil                                                                                           ;SP;SR/PF/SP                                                        ;Nao;                                                                                                                                ;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
371c4431406d4670fee9b4a4e48df5fa;26/06/2023;27/07/2023;Operacao Especial;Trбfico de Drogas                                                                                                               ;SP;DPF/CAS/SP                                                      ;Nao;                                                                                                                                ;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
ec8ca670536642c69559bbcdb8cdb5f7;27/07/2023;27/07/2023;Operacao de Apoio;Crimes de Уdio e Pornografia Infantil                                                                                           ;SP;SR/PF/SP                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
3c509108a5bf600d090ef0a8b82ed1bc;27/07/2023;27/07/2023;Operacao de Apoio;Crimes Contra o Patrimфnio                                                                                                      ;CE;DPF/JNE/CE                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
255b3960433fa04fb0c7b567d4973f41;27/07/2023;27/07/2023;Operacao Simples ;Crimes Ambientais e Contra o Patrimфnio Cultural                                                                                ;RO;DPF/JPN/RO                                                      ;Nao;                                                                                                                                ;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
595160e3e725c29828159d148130a17c;27/07/2023;27/07/2023;Operacao de Apoio;Crimes de Corrupзгo                                                                                                             ;MS;SR/PF/MS                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
01d625ebed880d882bb9366f3640c5fd;27/07/2023;27/07/2023;Operacao de Apoio;Crimes de Corrupзгo                                                                                                             ;MS;SR/PF/MS                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
257568051c284e2063790a1688582cc9;27/07/2023;27/07/2023;Operacao de Apoio;Crimes de Corrupзгo                                                                                                             ;MS;SR/PF/MS                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
